기업명,평균 학점,평균 토익점수,평균 토익스피킹 점수,평균 오픽점수,평균 외국어 개수,평균 자격증 개수,평균 해외경험 횟수,평균 인턴경험 횟수,평균 수상 횟수,평균 봉사 횟수,자격증
㈜신흥정밀,3.57,680점,-,IM2,1.3개,2.3개,1.5회,2회,1.8회,2회,"워드프로세서 1급, 워드프로세서 2급, 정보처리기능사, 정보기기운용기능사, 정보기술자격(ITQ)인증시험"
신공항하이웨이(주),3.71,-,-,-,1개,2.4개,1회,-,-,1회,"워드프로세서 1급, 컴퓨터활용능력 3급, MOS, 정보처리기능사, 조주기능사"
넥스틸㈜,3.67,814점,-,-,1개,2개,1회,3회,1.3회,-,"전기용접기능사, 워드프로세서 1급, 정보처리기사, 컴퓨터활용능력 2급, 특수용접기능사"
한성기업(주),3.71,855점,IM3,IM2,1개,2.6개,1.3회,1.3회,1.3회,2.5회,"영양사, 유통관리사, 컴퓨터활용능력 2급, MOS, 컴퓨터활용능력 3급"
(주)에스텍시스템,3.55,651점,IM3,IM2,1.1개,1.8개,1.3회,2.1회,1.7회,1.6회,"정보기기운용기능사, 워드프로세서 2급, 워드프로세서 1급, 컴퓨터활용능력 3급, 워드프로세서 3급"
한일제관㈜,3.78,850점,-,-,1개,1.9개,-,2.5회,2회,1.5회,"정보기기운용기능사, 화학분석기능사, 사출금형산업기사, 정보처리기능사, 주조기능사"
강남제비스코㈜,3.54,763점,-,IM2,-,2.5개,1회,1회,1.5회,2.5회,"워드프로세서 1급, 워드프로세서 2급, 컴퓨터활용능력 2급, MOS, 한자 자격 시험"
한솔이엠이㈜,3.57,764점,AL,IM3,1개,2.1개,1.1회,2회,1회,1.3회,"워드프로세서 1급, 워드프로세서 2급, 정보기술자격(ITQ)인증시험, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급"
극동전선(주),3.57,813점,IM3,IM3,1개,2.3개,1.2회,1회,2회,-,"워드프로세서 1급, 워드프로세서 2급, MOS, 품질관리산업기사, 컴퓨터활용능력 2급"
케이투코리아(주),3.76,810점,AL,IH,-,2.3개,1.2회,1회,1.5회,2회,"국제무역사 1급, 무역영어, 워드프로세서 2급, 중등학교정교사, 한자 자격 시험"
알티전자㈜,3.41,814점,AL,-,1.2개,1.6개,1.2회,2회,1회,1회,"컴퓨터활용능력 3급, 컴퓨터활용능력 2급, 워드프로세서 1급, 워드프로세서 2급, 워드프로세서 3급"
제이엠티(주),3.38,-,-,-,-,2.3개,1회,-,1회,-,"워드프로세서 1급, 정보기기운용기능사, 정보기술자격(ITQ)인증시험, 정보처리기능사, 워드프로세서 2급"
(주)삼광,3.63,788점,-,IM1,1개,2개,2회,1회,1.5회,1회,"선반기능사, 정보처리기능사, 워드프로세서 2급, 자동차정비기능사, 전산응용기계제도기능사"
㈜위닉스,3.4,750점,IH,-,1.3개,1.8개,1.7회,1.8회,1.9회,1.6회,"전자기기기능사, 정보기기운용기능사, 정보처리기능사, 컴퓨터활용능력 2급, 수치제어밀링기능사"
(주)한국아트라스비엑스,3.47,816점,-,IM2,1.3개,2.4개,1.1회,-,1.7회,2회,"워드프로세서 1급, 컴퓨터활용능력 2급, 정보처리기능사, MOS, 무역영어"
(주)네패스,3.66,744점,IH,IM2,1.3개,2.2개,1.4회,1.4회,1.8회,1.8회,"워드프로세서 1급, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급, 정보기기운용기능사, 정보기술자격(ITQ)인증시험"
삼화콘덴서그룹,3.43,797점,IH,-,1개,2.7개,1회,1회,2회,1.7회,"컴퓨터활용능력 2급, 컴퓨터활용능력 3급, 워드프로세서 2급, 정보기기운용기능사, 워드프로세서 3급"
한국정밀기계(주),3.49,653점,IM1,-,1개,2.2개,1회,-,-,1회,"선반기능사, 수치제어밀링기능사, 수치제어선반기능사, 전자기기기능사, 정보기기운용기능사"
㈜유니온,3.57,744점,IM3,NM/NL,-,2.8개,1회,1회,-,2회,"컴퓨터활용능력 2급, 정보기술자격(ITQ)인증시험, 워드프로세서 1급, 산업안전기사, 전산회계 1급"
크루셜텍(주),3.65,759점,IH,IM2,1.1개,2개,1.3회,1.4회,1.5회,1.8회,"정보기기운용기능사, 정보처리기사, 워드프로세서 2급, 정보기술자격(ITQ)인증시험, 컴퓨터활용능력 3급"
㈜일진에너지,3.33,570점,-,-,1개,1.7개,1회,1회,-,-,"1종대형운전면허, 건설안전기사, 건축기사, 사무자동화산업기사, 생산자동화산업기사"
(주)디지텍시스템스,3.52,713점,IH,IL,1.3개,2개,1.1회,1.3회,2.1회,1.6회,"정보기기운용기능사, 워드프로세서 2급, 워드프로세서 1급, 컴퓨터활용능력 3급, 정보처리기능사"
코스모화학㈜,3.55,950점,AL,-,1.5개,2.7개,1회,2회,1.7회,2.8회,"워드프로세서 1급, 워드프로세서 2급, 산업안전기사, 정보기기운용기능사, 정보처리기능사"
(주)네오플,3.6,753점,IH,IL,1개,2.1개,1.2회,2회,2.4회,1.7회,"정보처리기사, 컴퓨터활용능력 2급, MOS, OCP, 정보기술자격(ITQ)인증시험"
㈜씨티알,3.77,791점,AL,-,1개,1.8개,1.3회,-,2회,1회,"사무자동화산업기사, 일반기계기사, 정보기술자격(ITQ)인증시험, 정보처리기사, 컴퓨터활용능력 2급"
애경그룹,3.61,834점,IH,IM3,1.1개,2.5개,1.3회,1.3회,2.1회,1.9회,"전산회계 2급, 컴퓨터활용능력 2급, 정보기술자격(ITQ)인증시험, 워드프로세서 2급, 워드프로세서 1급"
㈜동성하이켐,4.03,817점,IH,IM3,1개,2.3개,1회,-,2회,-,"워드프로세서 1급, MOS, 무역영어, 전산회계운용사(전산회계사) 3급, 컴퓨터활용능력 3급"
(주)황금에스티,3.5,710점,IM3,-,-,2개,1.4회,1회,1회,2.7회,"워드프로세서 1급, 지게차운전기능사, 치과기공사, 컬러리스트기사, 컴퓨터활용능력 2급"
에드워드코리아㈜,3.35,738점,IH,IH,1.8개,2.2개,1.2회,1회,1.8회,1.3회,"수치제어밀링기능사, 워드프로세서 1급, 워드프로세서 2급, 수치제어선반기능사, 건축도장기능사"
㈜성주그룹,3.69,831점,IH,IH,1.2개,1.6개,1.3회,1.9회,1.5회,1.3회,"MOS, 유통관리사, 컴퓨터활용능력 2급, 정보기기운용기능사, 워드프로세서 1급"
신한다이아몬드공업(주),3.59,792점,IH,IM2,1.1개,2개,1.4회,1.3회,2.1회,2회,"컴퓨터활용능력 3급, 컴퓨터활용능력 2급, MOS, 워드프로세서 1급, 워드프로세서 2급"
(주)비와이엔블랙야크,3.35,662점,IM2,IM1,1개,1.7개,1회,1.4회,1회,2.3회,"워드프로세서 2급, 워드프로세서 3급, 전산응용건축제도기능사, 전산회계운용사(전산회계사) 2급, 정보기기운용기능사"
(주)한국가스기술공사,3.29,691점,IM3,IH,1개,2.4개,1.3회,1회,1.6회,1.5회,"전자기기기능사, 전기기능사, 워드프로세서 2급, 워드프로세서 1급, 전기공사기사"
㈜호텔롯데 롯데월드,3.67,851점,-,AL,1.8개,1.6개,2.5회,1.1회,1.7회,2.3회,"건축기사, 수질환경기사, 워드프로세서 2급, 유통관리사, 전기공사기사"
지지무역(주),3.63,888점,IH,IM3,1개,1.8개,1.1회,1.1회,1.8회,2.1회,"워드프로세서 1급, 컴퓨터활용능력 2급, MOS, OPIc, 컴퓨터그래픽스운용기능사"
㈜크레버스,3.63,836점,IH,IM3,1.2개,2.2개,1.4회,1.2회,2.1회,1.9회,"워드프로세서 1급, 정보처리기사, MOS, 컴퓨터활용능력 2급, 정보기술자격(ITQ)인증시험"
(주)다산네트웍스,3.46,764점,IM2,IM2,1.1개,2.7개,1.2회,1.3회,1.9회,2.2회,"정보기기운용기능사, 정보처리기사, CCNA, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급"
(주)캠시스,3.68,570점,-,IL,1개,2.3개,1.3회,1.3회,3회,1.8회,"컴퓨터활용능력 2급, 워드프로세서 2급, 정보기기운용기능사, 정보처리기사, 정보처리기능사"
(주)베네통코리아,3.62,739점,IH,IH,-,1.8개,1.3회,-,1.5회,1.6회,"컬러리스트기사, MOS, 워드프로세서 3급, 전산회계 1급, 전산회계 2급"
액센츄어(유),3.67,788점,AL,-,1개,2개,1.1회,1회,1.3회,1회,"정보처리기사, 정보처리산업기사, 컴퓨터활용능력 2급, 리눅스마스터 2급, MOS"
(주)신한,3.69,837점,IH,-,-,2개,1.6회,1회,2.3회,2회,"건설재료시험기능사, 기중기운전기능사, 무역영어, 수질환경기사, 워드프로세서 2급"
(주)동서기공,3.48,595점,IM1,IL,1개,1.5개,1.1회,1회,2.3회,2.6회,"대기환경기사, 정보기술자격(ITQ)인증시험, 정보처리기능사, 전자기기기능사, MOS"
생고뱅이소바코리아(주),3.51,776점,-,-,1개,2.6개,1회,-,1회,1회,"워드프로세서 2급, 전산회계 1급, 전산회계 2급, ERP정보관리사 물류1급, ERP정보관리사 생산1급"
한국과학기술정보연구원,3.81,742점,IM1,IM1,1.2개,2.3개,1.3회,1.8회,1.9회,1.7회,"워드프로세서 1급, 컴퓨터활용능력 2급, 워드프로세서 2급, 정보처리기사, 정보처리기능사"
한국농수산식품유통공사,3.61,809점,IH,IH,1.1개,2.2개,1.3회,2.7회,1.9회,2.3회,"컴퓨터활용능력 2급, 워드프로세서 1급, 워드프로세서 2급, 한식조리기능사, MOS"
(주)모아텍,3.57,754점,-,IM1,1.3개,1.4개,1.2회,-,-,-,"사무자동화산업기사, 인터넷정보검색사 2급, 정보처리기사, 정보통신산업기사, MOS"
(주)서원인텍,3.44,704점,-,IM2,1.2개,2.4개,1.4회,3회,1.7회,1.5회,"워드프로세서 1급, 워드프로세서 2급, 정보기기운용기능사, 컴퓨터활용능력 2급, 정보처리기능사"
한미반도체(주),3.52,822점,IM3,IM3,1.1개,1.9개,1.4회,1.6회,2.1회,1.9회,"수치제어선반기능사, 수치제어밀링기능사, 워드프로세서 2급, 전산응용기계제도기능사, 기계조립기능사"
(주)위메이드,3.54,791점,IH,IM3,1개,2.5개,1.3회,2.2회,1.7회,2회,"정보처리기사, 정보기기운용기능사, 정보처리기능사, 워드프로세서 2급, OCP"
한국휴렛팩커드(유),3.61,861점,IH,IM2,1.1개,2개,1.2회,1.7회,1.3회,2회,"워드프로세서 1급, MOS, 컴퓨터활용능력 2급, 정보처리기사, 워드프로세서 2급"
웅진폴리실리콘㈜,3.57,754점,IH,IM1,1개,2.1개,1.3회,1회,3회,1.5회,"전기공사기능사, 워드프로세서 1급, 워드프로세서 2급, 보일러취급기능사, 수치제어선반기능사"
㈜테크엘,3.44,861점,AL,IH,1.3개,2.1개,1.7회,2회,1.3회,1.6회,"워드프로세서 2급, 정보기기운용기능사, 컴퓨터활용능력 3급, 전자기기기능사, 컴퓨터활용능력 2급"
오성엘에스티㈜,3.59,718점,IM3,IM1,1개,2.1개,1.5회,1회,2.8회,2회,"컴퓨터활용능력 2급, 사무자동화산업기사, 워드프로세서 1급, 정보처리기사, 정보기기운용기능사"
한국가스안전공사,3.69,805점,IM3,IM2,1개,2.4개,1.2회,1회,2.3회,1.8회,"워드프로세서 1급, 정보기기운용기능사, 컴퓨터활용능력 2급, 워드프로세서 2급, 컴퓨터활용능력 3급"
(재)한국항공우주연구원,3.67,721점,IM3,IM1,1.3개,2.3개,1.4회,2회,2.1회,2회,"컴퓨터활용능력 2급, 워드프로세서 1급, 워드프로세서 2급, 사무자동화산업기사, 정보처리기사"
한국전자통신연구원,3.7,754점,IM3,IM1,1개,2.4개,1.2회,1.3회,1.9회,2.1회,"컴퓨터활용능력 2급, 사무자동화산업기사, 워드프로세서 1급, 정보처리기사, 워드프로세서 2급"
스태츠칩팩코리아,3.6,820점,IM3,IM2,1.1개,2.2개,1.3회,1.4회,1.8회,2.3회,"정보기기운용기능사, 워드프로세서 2급, 컴퓨터활용능력 3급, 컴퓨터활용능력 2급, 워드프로세서 1급"
(주)현대경제연구원,3.71,778점,-,AL,1개,2.3개,1회,1.8회,2.6회,1.8회,"중등학교정교사, 워드프로세서 1급, 전기기사, 컴퓨터그래픽스운용기능사, 컴퓨터활용능력 2급"
영진약품㈜,3.54,769점,IL,IM2,1.2개,2.2개,1.2회,1회,1.6회,1.5회,"MOS, 컴퓨터활용능력 2급, 무역영어, 워드프로세서 1급, 워드프로세서 2급"
부광약품(주),3.6,791점,IM3,IM2,1개,2.3개,1.1회,-,2.3회,1.6회,"정보기기운용기능사, 컴퓨터활용능력 3급, 컴퓨터활용능력 2급, 워드프로세서 1급, 전산회계운용사(전산회계사) 3급"
㈜SUN&L,3.43,788점,AL,-,2개,2.4개,1.4회,2회,1.5회,1회,"유통관리사, 인간공학기사, 일본어 능력시험(JLPT), 전산회계 1급, 전산회계운용사(전산회계사) 2급"
팬택씨앤아이,3.59,829점,IM3,IM3,1개,2.3개,1.1회,2회,2.5회,1.8회,"정보처리기사, 정보처리기능사, 전산회계운용사(전산회계사) 2급, MOS, SCJP"
(주)풀무원푸드앤컬처,3.68,721점,AL,IM2,1.3개,2.5개,1.1회,2회,1.9회,2회,"한식조리기능사, 양식조리기능사, 영양사, 위생사, 워드프로세서 2급"
(주)덕신하우징,3.56,761점,-,-,1개,2.1개,1.3회,1.7회,-,1.5회,"컴퓨터활용능력 2급, 워드프로세서 1급, 정보기기운용기능사, 사무자동화산업기사, 건축기사"
유니슨(주),3.65,806점,IM3,IM1,1.3개,2.8개,1.4회,-,1.3회,2.3회,"워드프로세서 1급, 컴퓨터활용능력 2급, MOS, OCP, SAP R3 (컨설턴트 인증시험)"
유비쿼스,3.6,796점,IM1,IM2,1.3개,2.1개,1.3회,1회,1.3회,1.8회,"정보처리기사, CCNA, 정보기기운용기능사, 컴퓨터활용능력 3급, MOS"
㈜DE&T,3.51,643점,-,-,1개,1.9개,1회,-,2.4회,2.5회,"전기공사기능사, 수치제어밀링기능사, 정보처리기능사, 워드프로세서 1급, 정보기기운용기능사"
(주)카카오엠,3.48,800점,IM3,-,1.3개,2개,1.3회,2.3회,2.3회,2.1회,"컴퓨터그래픽스운용기능사, MOS, 정보처리기능사, 워드프로세서 3급, 웹디자인기능사"
부국증권(주),3.57,853점,AL,-,1.7개,2.4개,1.2회,-,-,3회,"증권투자상담사, 증권펀드투자상담사, 정보기술자격(ITQ)인증시험, 투자자산운용사, 파생상품투자상담사"
동국실업㈜,3.55,-,-,-,-,1.8개,1.7회,-,2회,-,
삼호개발(주),3.35,670점,IL,AL,1.5개,2.6개,1.7회,1.5회,1회,2회,"토목기사, 토목산업기사, 컴퓨터활용능력 2급, 건설안전기사, 건설안전산업기사"
㈜케이아이씨,3.39,666점,IH,-,-,2.1개,1.5회,-,1회,1회,"컴퓨터활용능력 2급, 전산응용기계제도기능사, 전산회계 1급, 전자기기기능사, 사무자동화산업기사"
한국환경산업기술원,3.68,816점,IM3,IM2,1.2개,2.1개,1.3회,1.7회,2.4회,1.9회,"워드프로세서 1급, 컴퓨터활용능력 2급, 수질환경기사, MOS, 정보처리기사"
경북대학교병원,3.84,776점,IH,IH,1.3개,2.4개,1.6회,2.5회,1.3회,1.5회,"워드프로세서 2급, 컴퓨터활용능력 2급, 워드프로세서 1급, 간호사, 정보처리기능사"
이엘케이(주),3.44,720점,-,-,1.5개,1.8개,1.6회,1회,1회,1.7회,"무선설비기능사, 정보기기운용기능사, 워드프로세서 2급, 정보처리기능사, 전자기기기능사"
(주)한웰,3.67,845점,IM1,IM2,1.4개,1.8개,1.3회,2.3회,1.6회,1.3회,"워드프로세서 1급, 일본어 능력시험(JLPT), 무역영어, 중등학교정교사, 정보처리기사"
(주)액토즈소프트,3.63,758점,-,AL,1.7개,2.3개,1.2회,1회,1.3회,1.3회,"정보처리기사, 정보처리산업기사, MOS, 워드프로세서 1급, 워드프로세서 2급"
㈜ 멜파스,3.59,793점,IH,NH,1개,2개,1.4회,1.5회,1.5회,1.3회,"정보기기운용기능사, 워드프로세서 1급, 컴퓨터활용능력 3급, 컴퓨터활용능력 2급, 워드프로세서 2급"
지오다노,3.72,762점,IH,IM2,1개,2개,1.1회,2회,2.3회,1.6회,"워드프로세서 2급, 정보처리기능사, 컴퓨터활용능력 3급, 컴퓨터그래픽스운용기능사, 워드프로세서 1급"
(사)경찰공제회,3.58,820점,-,-,1개,1.4개,1회,1회,-,1회,
한국방송공사,3.62,748점,AL,IM3,1.2개,2개,1.4회,1.9회,1.9회,2.2회,"워드프로세서 2급, MOS, 워드프로세서 1급, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급"
HL Klemove,3.61,759점,-,-,1개,1.8개,1.3회,1회,1.3회,1.3회,"워드프로세서 1급, 워드프로세서 2급, 정보기술자격(ITQ)인증시험, 정보처리산업기사, 컴퓨터활용능력 3급"
전력거래소,3.68,846점,IH,IH,1.2개,2.3개,1.2회,1.3회,1.3회,1.8회,"정보처리기사, 정보처리산업기사, 사무자동화산업기사, 워드프로세서 1급, 워드프로세서 2급"
한국정책금융공사,3.74,-,-,-,2개,2.5개,1회,-,-,-,"정보기술자격(ITQ)인증시험, 정보처리기능사, 정보처리기사, 컴퓨터활용능력 3급, 환경기능사"
수산업협동조합중앙회,3.68,840점,IH,IH,1개,2.9개,2회,1회,1회,1.8회,"도시계획기사, 지적기사, 측량기능사, 사무자동화산업기사, 정보처리기사"
웰킵스하이텍㈜,3.6,693점,IH,IM2,1개,1.8개,1.3회,1.5회,1.7회,2회,"정보기기운용기능사, 워드프로세서 2급, 전자기기기능사, 전기공사기능사, 자동차정비기능사"
(주)씨디네트웍스,3.5,738점,-,IM3,1개,2개,1.2회,1.3회,1.8회,1.3회,"정보처리기사, 정보처리산업기사, 리눅스마스터 2급, 워드프로세서 1급, 컴퓨터활용능력 2급"
삼양통상(주),3.55,-,-,-,1개,2개,1.3회,3회,-,2회,
삼정펄프(주),3.39,705점,IM1,-,1개,2.4개,1.3회,1.7회,1.3회,1.8회,"컴퓨터활용능력 2급, 증권펀드투자상담사, 정보기기운용기능사, 정보기술자격(ITQ)인증시험, 정보처리기사"
환인제약(주),3.57,761점,IH,IH,1개,1.9개,1.3회,1.9회,1회,1.4회,"MOS, 한자능력검정, 컨벤션기획사 2급, 워드프로세서 1급, 워드프로세서 2급"
일진전기㈜,3.58,782점,IM3,IL,1.1개,2개,1.1회,1회,2회,2회,"워드프로세서 1급, 전산응용기계제도기능사, 정보기기운용기능사, MOS, 증권투자상담사"
중소기업중앙회,3.74,786점,IH,IM3,1.2개,2.3개,1.2회,1.9회,1.8회,1.6회,"MOS, 정보처리기사, 워드프로세서 1급, 워드프로세서 2급, 컴퓨터활용능력 2급"
(재)세종문화회관,3.74,747점,IH,IL,1.3개,2개,1.6회,2.2회,1.8회,2.1회,"MOS, 컴퓨터활용능력 2급, 전자기기기능사, 한식조리기능사, 정보기술자격(ITQ)인증시험"
(재)한국장학재단,3.61,871점,IM3,IH,1개,2.8개,1회,1.3회,1.8회,2.2회,"컴퓨터활용능력 2급, MOS, 워드프로세서 2급, 재경관리사, 전산회계 2급"
한국조폐공사,3.65,781점,IM2,-,1개,2.6개,1.3회,2회,2.5회,2회,"정보처리기사, 사무자동화산업기사, 워드프로세서 1급, 컴퓨터활용능력 2급, 한국사능력검정시험 1급"
한국자동차연구원,3.73,741점,IM3,IM1,1.2개,2.1개,1.5회,1.5회,2.8회,1.8회,"정보기기운용기능사, 워드프로세서 1급, 워드프로세서 2급, MOS, 전산응용기계제도기능사"
㈜드림어스컴퍼니,3.45,767점,IH,IH,1개,1.8개,1회,2회,1.7회,1.3회,"워드프로세서 1급, 정보처리기사, 컴퓨터활용능력 2급, 워드프로세서 3급, 정보기기운용기능사"
㈜KG이니시스,3.45,735점,IH,-,1개,1.6개,1.2회,-,1.5회,1회,"정보처리기사, 워드프로세서 2급, SCJP, 컴퓨터활용능력 2급, 워드프로세서 1급"
(주)홈캐스트,3.61,765점,-,-,1개,2.5개,2회,2회,-,1회,"워드프로세서 1급, 컴퓨터활용능력 2급, MOS, 무역영어, 정보처리기사"
㈜한솔신텍,3.59,757점,IM1,IH,-,2.7개,1회,1회,1회,2회,"워드프로세서 1급, 컴퓨터활용능력 2급, 사무자동화산업기사, 전산회계 2급, 정보처리기능사"
에코볼트㈜,3.75,533점,IL,IL,1.3개,1.8개,2회,1.5회,1회,2.5회,"컴퓨터활용능력 2급, 워드프로세서 2급, 전산회계 2급, 컴퓨터활용능력 3급, MOS"
(주)원익큐브,3.32,833점,-,IM2,-,2.1개,1.2회,1회,1.5회,2회,"MOS, 컴퓨터활용능력 2급, 유통관리사, 정보처리기능사, 증권투자상담사"
상신브레이크(주),3.71,798점,AL,IH,2개,2.6개,1.5회,1회,-,-,"워드프로세서 1급, 유통관리사, 컴퓨터활용능력 2급, 사무자동화산업기사, 항공전자정비기능사"
삼진제약㈜,3.53,766점,IH,IM1,1개,2.2개,1.3회,1.6회,1회,1.5회,"컴퓨터활용능력 2급, 사무자동화산업기사, 정보기술자격(ITQ)인증시험, 전산회계운용사(전산회계사) 2급, MOS"
㈜에스제이엠,3.39,733점,AL,-,1개,2.1개,1.3회,-,2회,-,"MOS, MOUS, 기계설계산업기사, 산업안전기사, 수치제어밀링기능사"
동일방직,3.61,766점,IH,-,-,2.6개,1.3회,-,-,2.5회,"귀금속가공기능사, 무역영어, 워드프로세서 1급, 워드프로세서 2급, 전산회계운용사(전산회계사) 3급"
(주)보루네오가구,3.59,731점,IM3,IM2,1개,2.3개,1.3회,2회,1.6회,1.3회,"컴퓨터활용능력 2급, MOS, 사무자동화산업기사, 워드프로세서 1급, 유통관리사"
SPC삼립,3.56,845점,IH,IM3,1.2개,2.3개,1.4회,1.5회,2.1회,1.8회,"제빵기능사, 컴퓨터활용능력 2급, 제과기능사, 워드프로세서 2급, 유통관리사"
(주)에스에너지,3.6,809점,IH,IM3,1.1개,2개,1.1회,1.8회,1.5회,1.9회,"워드프로세서 2급, 전자기기기능사, 워드프로세서 1급, 컴퓨터활용능력 2급, MOS"
(주)인지디스플레이,3.64,728점,-,-,1개,1.8개,1.3회,1회,1회,1회,"컴퓨터활용능력 3급, 전자기기기능사, 정보기기운용기능사, 정보처리기능사, 워드프로세서 3급"
넥스콘테크놀러지(주),3.6,721점,IM3,IM2,1.6개,2.2개,1.1회,1.5회,1.5회,1.9회,"정보기기운용기능사, 워드프로세서 3급, 컴퓨터활용능력 3급, 전자기기기능사, 워드프로세서 2급"
매그나칩반도체(유),3.68,760점,IM2,IM2,1개,2.1개,1.1회,1.3회,1.3회,1회,"컴퓨터활용능력 3급, 워드프로세서 2급, 정보기기운용기능사, 정보기술자격(ITQ)인증시험, 워드프로세서 1급"
농업협동조합중앙회,3.58,747점,IH,IM3,1개,2.7개,1.1회,1.7회,1.2회,1.4회,"사무자동화산업기사, 정보처리기사, 컴퓨터활용능력 2급, 워드프로세서 1급, 유통관리사"
㈜피케이엘,3.57,845점,-,-,1개,1.9개,1회,-,-,1회,"워드프로세서 3급, 자동차정비기능사, 정보기기운용기능사, 정보처리산업기사, 지게차운전기능사"
안정개발(주),3.26,-,-,-,-,2개,-,-,1회,1회,"토목기사, 건설안전기사, 사무자동화산업기사, 건설재료시험기사, 토목시공기술사"
㈜세스코,3.47,764점,IM2,IM3,1개,2.2개,1.3회,1.8회,1.7회,1.9회,"워드프로세서 1급, 컴퓨터활용능력 2급, MOS, 정보기기운용기능사, 워드프로세서 2급"
㈜현대에버다임,3.52,799점,-,IM3,1.4개,2.5개,1.3회,1.5회,1.5회,1.3회,"MOS, 굴삭기운전기능사, 지게차운전기능사, 한자능력검정, 일반기계기사"
(주)포스하이메탈,3.73,779점,IM3,IM2,1개,2.7개,1.1회,1회,1.3회,1.8회,"컴퓨터활용능력 2급, 정보기술자격(ITQ)인증시험, 정보처리기능사, 지게차운전기능사, 금속재료산업기사"
㈜IBK캐피탈,3.64,844점,IH,IM3,1개,2.3개,1.2회,1.8회,2회,2.8회,"컴퓨터활용능력 2급, 정보처리기사, MOS, AFPK, FRM(국제금융위험관리전문가)"
(주)세아네트웍스,3.49,815점,-,IL,1개,2.7개,1회,-,-,1회,"정보처리기사, 정보처리산업기사, CCNA, SCJP, 컴퓨터활용능력 2급"
㈜현대퓨처넷,3.73,772점,IM1,IM1,-,2.5개,1.7회,2.3회,2.5회,1.3회,"선물거래상담사, 워드프로세서 1급, 워드프로세서 2급, 재경관리사, 전산회계 1급"
덕평랜드㈜,3.72,788점,-,-,1개,2.3개,1.5회,-,5회,-,"컴퓨터활용능력 3급, 한식조리기능사, 워드프로세서 2급, 위생사, 정보기기운용기능사"
대웅바이오㈜,3.57,799점,IH,IM2,1개,2개,1회,1.2회,1회,1.6회,"컴퓨터활용능력 2급, 위생사, 워드프로세서 1급, 사무자동화산업기사, 수질환경기사"
엘티소재(주),3.83,720점,-,IH,1.2개,2.3개,1.8회,1.7회,2.4회,2.1회,"전자기기기능사, 정보기기운용기능사, 컴퓨터활용능력 3급, 워드프로세서 2급, 워드프로세서 단일등급"
HD현대엔진 유한회사,3.66,809점,AL,IM2,1개,2.6개,1회,1회,1회,2회,"사무자동화산업기사, 컴퓨터활용능력 2급, 워드프로세서 1급, 워드프로세서 2급, MOS"
한국지질자원연구원,3.72,734점,IM2,IH,1개,2.1개,1.1회,1회,2회,1.8회,"컴퓨터활용능력 2급, 워드프로세서 2급, 워드프로세서 1급, 사무자동화산업기사, 응용지질기사"
한국특허기술진흥원,3.66,832점,IH,IM2,1.3개,2.5개,1.3회,1.5회,1.7회,2.5회,"워드프로세서 1급, 정보처리기사, 워드프로세서 2급, 컴퓨터활용능력 2급, 사무자동화산업기사"
(주)인팩,3.52,753점,-,IM3,1.3개,2개,1.1회,1.7회,-,1.6회,"MOS, 워드프로세서 1급, 정밀측정산업기사, 컴퓨터활용능력 1급, 컴퓨터활용능력 2급"
㈜커머스플래닛,3.54,841점,IH,IM2,1.4개,1.9개,1.3회,1.4회,2.3회,1.5회,"컴퓨터그래픽스운용기능사, 컴퓨터활용능력 2급, 워드프로세서 1급, 정보처리기사, 정보기기운용기능사"
라이온코리아(주),3.87,765점,IH,-,-,3개,1.5회,-,-,2회,"1종대형운전면허, 가스기능사, 간호조무사, 사무자동화산업기사, 사회복지사"
KT파워텔㈜,3.32,770점,-,-,-,2.4개,-,-,-,-,"정보처리기능사, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급, 통신선로기능사, AutoCAD 2급 기술자격시험"
듀폰코리아(주),3.57,861점,AH/AM,AL,1.2개,2.1개,1.4회,1.3회,1.7회,2.4회,"생활체육지도자 3급, 워드프로세서 2급, 컴퓨터활용능력 2급, MOS, 한자 자격 시험"
하이디스테크놀로지(주),3.66,814점,IM3,IM1,-,1.8개,1회,2회,1.8회,1.3회,"컴퓨터활용능력 3급, MOS, 워드프로세서 3급, 컴퓨터활용능력 2급, 정보기기운용기능사"
에스피씨㈜,3.66,870점,IH,IH,1개,2.1개,1.2회,1.5회,1.5회,1.3회,"식품기사, 유통관리사, 정보처리기사, 한식조리기능사, 식품산업기사"
한림제약(주),3.7,737점,IH,IM2,1개,2개,1.8회,1회,1.6회,1.2회,"유통관리사, 컴퓨터활용능력 2급, MOS, 정보처리기사, 한자능력검정"
동아오츠카㈜,3.53,770점,IH,IM2,1개,1.9개,1.3회,1.8회,1.8회,1.7회,"정보기기운용기능사, 워드프로세서 2급, 지게차운전기능사, 워드프로세서 1급, 컴퓨터활용능력 2급"
CJ E&M㈜,3.62,863점,IH,IH,1.2개,1.8개,1.2회,1.3회,1.5회,1.4회,"한국사능력검정시험 1급, 컴퓨터활용능력 1급, 컴퓨터활용능력 2급, 정보처리기능사, 워드프로세서 1급"
㈜씨모텍,3.52,775점,-,IL,1개,1.8개,1회,-,1.5회,-,"워드프로세서 1급, 컴퓨터활용능력 2급, MOS, 워드프로세서 2급, 일본어능력시험(JLPT)"
